0,1,0.01
0,3,0.01
0,5,0.01
0,10,0.01
0.001,1,0.01
0.001,3,0.01
0.001,5,0.01
0.001,10,0.01
0.005,1,0.01
0.005,3,0.01
0.005,5,0.01
0.005,10,0.01
0.01,1,0.01
0.01,3,0.01
0.01,5,0.01
0.01,10,0.01
0.05,1,0.01
0.05,3,0.01
0.05,5,0.01
0.05,10,0.01
0,1,0.5
0,3,0.5
0,5,0.5
0,10,0.5
0.001,1,0.5
0.001,3,0.5
0.001,5,0.5
0.001,10,0.5
0.005,1,0.5
0.005,3,0.5
0.005,5,0.5
0.005,10,0.5
0.01,1,0.5
0.01,3,0.5
0.01,5,0.5
0.01,10,0.5
0.05,1,0.5
0.05,3,0.5
0.05,5,0.5
0.05,10,0.5
0,1,0.1
0,3,0.1
0,5,0.1
0,10,0.1
0.001,1,0.1
0.001,3,0.1
0.001,5,0.1
0.001,10,0.1
0.005,1,0.1
0.005,3,0.1
0.005,5,0.1
0.005,10,0.1
0.01,1,0.1
0.01,3,0.1
0.01,5,0.1
0.01,10,0.1
0.05,1,0.1
0.05,3,0.1
0.05,5,0.1
0.05,10,0.1
0,1,0.3
0,3,0.3
0,5,0.3
0,10,0.3
0.001,1,0.3
0.001,3,0.3
0.001,5,0.3
0.001,10,0.3
0.005,1,0.3
0.005,3,0.3
0.005,5,0.3
0.005,10,0.3
0.01,1,0.3
0.01,3,0.3
0.01,5,0.3
0.01,10,0.3
0.05,1,0.3
0.05,3,0.3
0.05,5,0.3
0.05,10,0.3
